Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name, Sales  ,month
15,US-2016-118983,25/08/2017,16/06/2029,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,Product ID,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",$68.81 ,Aug-2017
16,US-2016-118983,26/08/2017,16/06/2030,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,Product ID,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,$2.54 ,Aug-2017
17,CA-2015-105893,27/08/2017,16/06/2031,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,Product ID,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",$665.88 ,Aug-2017
18,CA-2015-167164,28/08/2017,16/06/2032,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,Product ID,Office Supplies,Storage,Fellowes Super Stor/Drawer,$55.50 ,Aug-2017
19,CA-2015-143336,29/08/2017,16/06/2033,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,Product ID,Office Supplies,Art,Newell 341,$8.56 ,Aug-2017
20,CA-2015-143336,30/08/2017,16/06/2034,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,Product ID,Technology,Phones,Cisco SPA 501G IP Phone,$213.48 ,Aug-2017
21,CA-2015-143336,31/08/2017,16/06/2035,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,Product ID,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",$22.72 ,Aug-2017
22,CA-2017-137330,01/09/2017,16/06/2036,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,Product ID,Office Supplies,Art,Newell 318,$19.46 ,Sep-2017
23,CA-2017-137330,02/09/2017,16/06/2037,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,Product ID,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",$60.34 ,Sep-2017
24,US-2018-156909,03/09/2017,16/06/2038,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Product ID,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",$71.37 ,Sep-2017
25,CA-2016-106320,04/09/2017,16/06/2039,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,Product ID,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,"$1,044.63 ",Sep-2017
26,CA-2017-121755,05/09/2017,16/06/2040,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,Product ID,Office Supplies,Binders,Wilson Jones Active Use Binders,$11.65 ,Sep-2017
27,CA-2017-121755,06/09/2017,16/06/2041,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,Product ID,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,$90.57 ,Sep-2017
28,US-2016-150630,07/09/2017,16/06/2042,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Product ID,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish","$3,083.43 ",Sep-2017
29,US-2016-150630,08/09/2017,16/06/2043,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Product ID,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,$9.62 ,Sep-2017
30,US-2016-150630,09/09/2017,16/06/2044,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Product ID,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",$124.20 ,Sep-2017
31,US-2016-150630,10/09/2017,16/06/2045,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Product ID,Office Supplies,Envelopes,Poly String Tie Envelopes,$3.26 ,Sep-2017
32,US-2016-150630,11/09/2017,16/06/2046,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Product ID,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",$86.30 ,Sep-2017
33,US-2016-150630,12/09/2017,16/06/2047,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Product ID,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",$6.86 ,Sep-2017
34,US-2016-150630,13/09/2017,16/06/2048,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Product ID,Office Supplies,Art,Lumber Crayons,$15.76 ,Sep-2017
35,CA-2018-107727,14/09/2017,16/06/2049,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,Product ID,Office Supplies,Paper,Easy-staple paper,$29.47 ,Sep-2017
36,CA-2017-117590,15/09/2017,16/06/2050,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,Product ID,Technology,Phones,GE 30524EE4,"$1,097.54 ",Sep-2017
37,CA-2017-117590,16/09/2017,16/06/2051,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,Product ID,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",$190.92 ,Sep-2017
38,CA-2016-117415,17/09/2017,16/06/2052,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,Product ID,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",$113.33 ,Sep-2017
39,CA-2016-117415,18/09/2017,16/06/2053,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,Product ID,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",$532.40 ,Sep-2017
40,CA-2016-117415,19/09/2017,16/06/2054,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,Product ID,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",$212.06 ,Sep-2017
41,CA-2016-117415,20/09/2017,16/06/2055,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,Product ID,Technology,Phones,Plantronics HL10 Handset Lifter,$371.17 ,Sep-2017
42,CA-2018-120999,21/09/2017,16/06/2056,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,Product ID,Technology,Phones,Panasonic Kx-TS550,$147.17 ,Sep-2017
43,CA-2017-101343,22/09/2017,16/06/2057,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,Product ID,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",$77.88 ,Sep-2017
44,CA-2018-139619,23/09/2017,16/06/2058,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,Product ID,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",$95.62 ,Sep-2017
45,CA-2017-118255,24/09/2017,16/06/2059,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,Product ID,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",$45.98 ,Sep-2017
46,CA-2017-118255,25/09/2017,16/06/2060,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,Product ID,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,$17.46 ,Sep-2017
47,CA-2015-146703,26/09/2017,16/06/2061,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,Product ID,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",$211.96 ,Sep-2017
48,CA-2017-169194,27/09/2017,16/06/2062,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,Product ID,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,$45.00 ,Sep-2017
49,CA-2017-169194,28/09/2017,16/06/2063,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,Product ID,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",$21.80 ,Sep-2017
50,CA-2016-115742,29/09/2017,16/06/2064,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Product ID,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",$38.22 ,Sep-2017
51,CA-2016-115742,30/09/2017,16/06/2065,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Product ID,Office Supplies,Labels,Avery 485,$75.18 ,Sep-2017
52,CA-2016-115742,01/10/2017,16/06/2066,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Product ID,Furniture,Furnishings,Longer-Life Soft White Bulbs,$6.16 ,Oct-2017
53,CA-2016-115742,02/10/2017,16/06/2067,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Product ID,Furniture,Chairs,"Global Leather Task Chair, Black",$89.99 ,Oct-2017
54,CA-2017-105816,03/10/2017,16/06/2068,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,Product ID,Office Supplies,Fasteners,Advantus Push Pins,$15.26 ,Oct-2017
55,CA-2017-105816,04/10/2017,16/06/2069,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,Product ID,Technology,Phones,AT&T CL83451 4-Handset Telephone,"$1,029.95 ",Oct-2017
56,CA-2017-111682,05/10/2017,16/06/2070,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Product ID,Office Supplies,Storage,Home/Office Personal File Carts,$208.56 ,Oct-2017
57,CA-2017-111682,06/10/2017,16/06/2071,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Product ID,Office Supplies,Paper,Xerox 232,$32.40 ,Oct-2017
58,CA-2017-111682,07/10/2017,16/06/2072,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Product ID,Furniture,Chairs,Novimex Turbo Task Chair,$319.41 ,Oct-2017
59,CA-2017-111682,08/10/2017,16/06/2073,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Product ID,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",$14.56 ,Oct-2017
60,CA-2017-111682,09/10/2017,16/06/2074,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Product ID,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,$30.00 ,Oct-2017
61,CA-2017-111682,10/10/2017,16/06/2075,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Product ID,Office Supplies,Binders,Plastic Binding Combs,$48.48 ,Oct-2017
62,CA-2017-111682,11/10/2017,16/06/2076,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Product ID,Office Supplies,Art,Prang Dustless Chalk Sticks,$1.68 ,Oct-2017
63,CA-2016-135545,12/10/2017,16/06/2077,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Product ID,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",$13.98 ,Oct-2017
64,CA-2016-135545,13/10/2017,16/06/2078,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Product ID,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",$25.82 ,Oct-2017
65,CA-2016-135545,14/10/2017,16/06/2079,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Product ID,Office Supplies,Paper,Xerox 1943,$146.73 ,Oct-2017
66,CA-2016-135545,15/10/2017,16/06/2080,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Product ID,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,$79.76 ,Oct-2017
67,US-2016-164175,16/10/2017,16/06/2081,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,Product ID,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",$213.12 ,Oct-2017
68,CA-2015-106376,17/10/2017,16/06/2082,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,Product ID,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige","$1,113.02 ",Oct-2017
69,CA-2015-106376,18/10/2017,16/06/2083,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,Product ID,Technology,Phones,netTALK DUO VoIP Telephone Service,$167.97 ,Oct-2017
70,CA-2017-119823,19/10/2017,16/06/2084,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,Product ID,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",$75.88 ,Oct-2017
71,CA-2017-106075,20/10/2017,16/06/2085,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009,East,Product ID,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,$4.62 ,Oct-2017
72,CA-2018-114440,21/10/2017,16/06/2086,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,Central,Product ID,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",$19.05 ,Oct-2017
73,US-2016-134026,22/10/2017,16/06/2087,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,Product ID,Furniture,Chairs,High-Back Leather Manager's Chair,$831.94 ,Oct-2017
74,US-2016-134026,23/10/2017,16/06/2088,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,Product ID,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",$97.04 ,Oct-2017
75,US-2016-134026,24/10/2017,16/06/2089,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,Product ID,Office Supplies,Storage,Safco Industrial Wire Shelving System,$72.78 ,Oct-2017
76,US-2018-118038,25/10/2017,16/06/2090,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,Product ID,Office Supplies,Binders,Economy Binders,$1.25 ,Oct-2017
77,US-2018-118038,26/10/2017,16/06/2091,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,Product ID,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",$9.71 ,Oct-2017
78,US-2018-118038,27/10/2017,16/06/2092,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,Product ID,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",$27.24 ,Oct-2017
79,US-2015-147606,28/10/2017,16/06/2093,Second Class,JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,77070,Central,Product ID,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",$19.30 ,Oct-2017
80,CA-2017-127208,29/10/2017,16/06/2094,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,Product ID,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",$208.16 ,Oct-2017
81,CA-2017-127208,30/10/2017,16/06/2095,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,Product ID,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,$16.74 ,Oct-2017
82,CA-2015-139451,31/10/2017,16/06/2096,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,Product ID,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",$14.90 ,Oct-2017
83,CA-2015-139451,01/11/2017,16/06/2097,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,Product ID,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",$21.39 ,Nov-2017
84,CA-2016-149734,02/11/2017,16/06/2098,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,27707,South,Product ID,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,$200.98 ,Nov-2017
85,US-2018-119662,03/11/2017,16/06/2099,First Class,CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,60623,Central,Product ID,Office Supplies,Storage,Safco Industrial Wire Shelving,$230.38 ,Nov-2017
86,CA-2018-140088,04/11/2017,16/06/2100,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,29203,South,Product ID,Furniture,Chairs,Novimex Swivel Fabric Task Chair,$301.96 ,Nov-2017
87,CA-2018-155558,05/11/2017,16/06/2101,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,Product ID,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,$19.99 ,Nov-2017
88,CA-2018-155558,06/11/2017,16/06/2102,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,Product ID,Office Supplies,Labels,Avery 511,$6.16 ,Nov-2017
89,CA-2017-159695,07/11/2017,16/06/2103,Second Class,GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,77095,Central,Product ID,Office Supplies,Storage,Eldon Portable Mobile Manager,$158.37 ,Nov-2017
90,CA-2017-109806,08/11/2017,16/06/2104,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,Product ID,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,$20.10 ,Nov-2017
91,CA-2017-109806,09/11/2017,16/06/2105,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,Product ID,Technology,Phones,Panasonic Kx-TS550,$73.58 ,Nov-2017
92,CA-2017-109806,10/11/2017,16/06/2106,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,Product ID,Office Supplies,Paper,Xerox 1995,$6.48 ,Nov-2017
93,CA-2016-149587,11/11/2017,16/06/2107,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,Product ID,Office Supplies,Paper,Xerox 1999,$12.96 ,Nov-2017
94,CA-2016-149587,12/11/2017,16/06/2108,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,Product ID,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",$53.34 ,Nov-2017
95,CA-2016-149587,13/11/2017,16/06/2109,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,Product ID,Office Supplies,Binders,Ibico Standard Transparent Covers,$32.96 ,Nov-2017
96,US-2018-109484,14/11/2017,16/06/2110,Standard Class,RB-19705,Roger Barcio,Home Office,United States,Portland,Oregon,97206,West,Product ID,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,$5.68 ,Nov-2017
97,CA-2018-161018,15/11/2017,16/06/2111,Second Class,PN-18775,Parhena Norris,Home Office,United States,New York City,New York,10009,East,Product ID,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,$96.53 ,Nov-2017
98,CA-2018-157833,16/11/2017,16/06/2112,First Class,KD-16345,Katherine Ducich,Consumer,United States,San Francisco,California,94122,West,Product ID,Office Supplies,Binders,Trimflex Flexible Post Binders,$51.31 ,Nov-2017
99,CA-2017-149223,17/11/2017,16/06/2113,Standard Class,ER-13855,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,55106,Central,Product ID,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,$77.88 ,Nov-2017
100,CA-2017-158568,18/11/2017,16/06/2114,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,Product ID,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,$64.62 ,Nov-2017
101,CA-2017-158568,19/11/2017,16/06/2115,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,Product ID,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,$95.98 ,Nov-2017
102,CA-2017-158568,20/11/2017,16/06/2116,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,Product ID,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,$1.79 ,Nov-2017
103,CA-2017-129903,21/11/2017,16/06/2117,Second Class,GZ-14470,Gary Zandusky,Consumer,United States,Rochester,Minnesota,55901,Central,Product ID,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),$23.92 ,Nov-2017
104,US-2016-156867,22/11/2017,16/06/2118,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,Product ID,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,$238.90 ,Nov-2017
105,US-2016-156867,23/11/2017,16/06/2119,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,Product ID,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",$102.36 ,Nov-2017
106,US-2016-156867,24/11/2017,16/06/2120,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,Product ID,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",$36.88 ,Nov-2017
107,CA-2018-119004,25/11/2017,16/06/2121,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,Product ID,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,$74.11 ,Nov-2017
108,CA-2018-119004,26/11/2017,16/06/2122,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,Product ID,Technology,Phones,Speck Products Candyshell Flip Case,$27.99 ,Nov-2017
109,CA-2018-119004,27/11/2017,16/06/2123,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,Product ID,Office Supplies,Art,Newell Chalk Holder,$3.30 ,Nov-2017
110,CA-2016-129476,28/11/2017,16/06/2124,Standard Class,PA-19060,Pete Armstrong,Home Office,United States,Orland Park,Illinois,60462,Central,Product ID,Technology,Accessories,Logitech Gaming G510s - Keyboard,$339.96 ,Nov-2017
111,CA-2018-146780,29/11/2017,16/06/2125,Standard Class,CV-12805,Cynthia Voltz,Corporate,United States,New York City,New York,10035,East,Product ID,Furniture,Furnishings,Magnifier Swing Arm Lamp,$41.96 ,Nov-2017
112,CA-2017-128867,30/11/2017,16/06/2126,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Urbandale,Iowa,50322,Central,Product ID,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",$75.96 ,Nov-2017
113,CA-2017-128867,01/12/2017,16/06/2127,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Urbandale,Iowa,50322,Central,Product ID,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",$27.24 ,Dec-2017
114,CA-2015-115259,02/12/2017,16/06/2128,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,Product ID,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",$40.10 ,Dec-2017
